Commmon Name,Scientific name,Population,Taxon,Range,COSEWIC status,On Schedule 1 (Yes/No)?,SARA status,Action plan (Y/N/Proposed),Year,Multispecies?,Cost (per year),Number of species,Recovery measure,Action,RM,Both,Priority,Status and timeline,Partners,Terrestrial,Aquatic ,Threat or objective addressed,Multispecies Quality Control
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,"Improve understanding of population biology through studies of factors such as reproduction (seed production and recruitment), seed banking dispersal, as well as the importance of watershed-level processes",,1,,Medium,2015-2020,0,1,0,All current threats,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,"Meet, collaborate, and coordinate efforts with other species at risk Recovery Teams, including: Eastern Ribbonsnake, Blanding’s Turtle, and Atlantic Whitefish",1,,,Low,All current threats,0,1,0,"2, 3, 4, 5, 6",1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Monitor on a regular basis the integrity of all secured sites (secured as outlined in Action 1.3),,1,,High ,Ongoing,0,1,0,1,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,"Produce distribution maps for all High priority species and locations at appropriate scales and make them available online (with varying level of detail) to provincial departments, municipalities, landowners, public, and ACPF Recovery Team to assist them in the prevention, removal and reduction of threats",,1,,High ,A; B; C; D,0,1,0,"1, 3, 4, 5, 6",1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,"Regarding animal husbandry, ensure guidelines exist for mink farm permits, assist in the establishment of regulations, work to reduce impacts of existing mink farms on water quality",1,,,High ,"1,5",0,1,0,,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,"Regarding dam operations, examine possible changes to the water management regime on the Tusket River system",,1,,Medium,"1,5",0,1,0,,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,"Support and encourage enforcement of all existing laws and regulations pertaining to threats impacting ACPF and their habitats, including appropriate species at risk training and seek amendments and/or increased resources for enforcement, where appropriate [Cross-over action with Objective 2]",1,,,High ,,0,1,0,Ongoing,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Support the designation of additional protected areas for all priority locations,1,,,High ,,0,1,0,Ongoing,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Support the designation of additional protected areas for all priority locations,1,,,High ,,0,1,0,Ongoing,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,"Support the implementation of regulations and policies (i.e. agriculture, forestry, mink farming, development)",1,,,High ,,0,1,0,Ongoing,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,"Support the implementation of regulations and policies (i.e. agriculture, forestry, mink farming, development)",1,,,High ,,0,1,0,Ongoing,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,"Use education and stewardship initiatives to increase people’s awareness of ACPF and their threats, and understanding of their role in the protection of ACPF and their habitat",1,,,High ,,0,1,0,Ongoing,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Use securement approaches on private land including: conservation easements; purchase; or donations,1,,,High ,"All except D.2; E.1, and F.1",0,1,0,5,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Work with the provincial Integrated Resource Management (IRM) planning process to further habitat protection,1,,,High ,,0,1,0,Ongoing,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Work with the provincial Integrated Resource Management (IRM) planning process to further habitat protection,1,,,High ,,0,1,0,Ongoing,1
Water-plantain Buttercup,Ranunculus alismifolius,,Vascular Plants,British Columbia,Endangered,Schedule 1,Special Concern,N,,,,,,,,,,,,,,,
Wavy-rayed Lampmussel,Lampsilis fasciola,,Molluscs,Ontario,Special Concern,Schedule 1,Special Concern,N,,,,,,,,,,,,,,,
Weed Shiner,Notropis texanus,,Fishes (freshwater),Manitoba,Not at Risk,No schedule,Special Concern,N,,,,,,,,,,,,,,,
Weidemeyer's Admiral,Limenitis weidemeyerii,,Arthropods,Alberta,Special Concern,Schedule 1,Special Concern,N,,,,,,,,,,,,,,,
Western Banded Tigersnail,Anguispira kochi  occidentalis,,Molluscs,British Columbia,Not at Risk,No schedule,Special Concern,N,,,,,,,,,,,,,,,
Western Blue Flag,Iris missouriensis,,Vascular Plants,Alberta,Special Concern,Schedule 1,Special Concern,N,,,,,,,,,,,,,,,
Western Brook Lamprey,Lampetra richardsoni,Morrison Creek population,Fishes (freshwater),British Columbia,Endangered,Yes,Special Concern,Y,2018,N,0,1,Assess and identify physical barriers to Morrison Creek Lamprey movement and potential areas for habitat restoration.,,1,,Medium,Medium-term,0,0,1,Long-term,1
Western Brook Lamprey,Lampetra richardsoni,Morrison Creek population,Fishes (freshwater),British Columbia,Endangered,Yes,Special Concern,Y,2018,N,0,1,Conduct studies to assess connectivity in key headwater areas and geospatially assess the hydrological properties of Morrison Creek and its headwaters. This may include groundwater measurements using previously drilled monitoring wells in headwater areas.,,1,,Medium,Medium-term,"Researchers (e.g. academic institutions, consultants), industry, local or provincial governments.",0,1,"Increase scientific understanding of Morrison Creek Lamprey through additional investigation of its natural history, critical habitat and threats to its persistence.",1
Western Brook Lamprey,Lampetra richardsoni,Morrison Creek population,Fishes (freshwater),British Columbia,Endangered,Yes,Special Concern,Y,2018,N,0,1,"Continue to investigate presence and distribution of the population in the Upper Morrison Creek watershed, and in the natural and artificial side channels and tributaries of Morrison Creek and Arden Creek.",,1,,High,2017 - 2021,0,0,1,"Increase scientific understanding of Morrison Creek Lamprey through additional investigation of its natural history, critical habitat and threats to its persistence.",1
Western Brook Lamprey,Lampetra richardsoni,Morrison Creek population,Fishes (freshwater),British Columbia,Endangered,Yes,Special Concern,Y,2018,N,0,1,"Develop a sufficiently robust monitoring plan to provide for a clear indication of the progress achieved towards securing the population’s long-term viability within its natural range and maintaining a self-sustaining population within the Morrison Creek watershed.
 Monitoring efforts may include:
 1) lamprey presence, distribution, habitat use, nest distribution, spawning site locations, specific critical habitat attributes, and trends;2) water quality parameters such as oxygen, temperature, flow and pH;
3) population and distribution of the watershed’s aquatic communities (ecological dynamics, particularly prey-predator relationships); and,
4) Aquatic invasive species presence.",,1,,Medium,2017 - 2021,0,0,1,"Secure its long-term viability within its natural range.
 Maintain a self-sustaining population of Morrison Creek Lamprey within Morrison Creek watershed.
 Increase scientific understanding of Morrison Creek Lamprey through additional investigation of its natural history, critical habitat and threats to its persistence.",1
Western Brook Lamprey,Lampetra richardsoni,Morrison Creek population,Fishes (freshwater),British Columbia,Endangered,Yes,Special Concern,Y,2018,N,0,1,"Develop allowable harm estimates and collection guidelines for Morrison Creek Lamprey, which encourage the use of minimally invasive sampling and handling techniques.",,1,,Medium,2017 - 2021,0,0,1,"Secure its long-term viability within its natural range.
 Maintain a self-sustaining population of Morrison Creek Lamprey within Morrison Creek watershed.",1
Western Brook Lamprey,Lampetra richardsoni,Morrison Creek population,Fishes (freshwater),British Columbia,Endangered,Yes,Special Concern,Y,2018,N,0,1,Develop tools that would enable definitive identification of ammocoetes as either the non-parasitic or parasitic type of Morrison Creek Lamprey.,,1,,Medium,Long-term,"Researchers (e.g. academic institutions, consultants), industry, provincial governments.",0,1,"Increase scientific understanding of Morrison Creek Lamprey through additional investigation of its natural history, critical habitat and threats to its persistence.",1
Western Brook Lamprey,Lampetra richardsoni,Morrison Creek population,Fishes (freshwater),British Columbia,Endangered,Yes,Special Concern,Y,2018,N,0,1,Develop water quality objectives that address the population’s biological needs and parameters that affect the quality of its habitat.,,1,,Medium,Medium-term,"Researchers (e.g. academic institutions, consultants), industry, local or provincial governments.",0,1,"Maintain, and where possible enhance, the ecological integrity of habitat for Morrison Creek Lamprey.",1
Western Brook Lamprey,Lampetra richardsoni,Morrison Creek population,Fishes (freshwater),British Columbia,Endangered,Yes,Special Concern,Y,2018,N,0,1,"Identify and evaluate water management options to satisfy both conservation and stakeholder needs in the following ways:
 - Share information on Morrison Creek Lamprey; and,
 - engage relevant agencies about conservation and water management options.",,,1,Medium,Medium-term,Local and provincial governments.,0,1,"Maintain, and where possible enhance, the ecological integrity of habitat for Morrison Creek Lamprey.
 Foster awareness of Morrison Creek Lamprey and its conservation status, and encourage active local involvement in stewardship and habitat protection.",1
Western Brook Lamprey,Lampetra richardsoni,Morrison Creek population,Fishes (freshwater),British Columbia,Endangered,Yes,Special Concern,Y,2018,N,0,1,"Identify Morrison Creek Lamprey prey preference, feeding rates, and estimate prey abundance and trends.",,1,,Medium,Medium-term,0,0,1,Short-term,1
Western Brook Lamprey,Lampetra richardsoni,Morrison Creek population,Fishes (freshwater),British Columbia,Endangered,Yes,Special Concern,Y,2018,N,0,1,Implement the monitoring plan for Morrison Creek Lamprey.,,1,,Medium,Medium-term,0,0,1,Long-term,1
Western Bumble Bee mckayi subspecies,Bombus occidentalis  mckayi,,Arthropods,"British Columbia, Yukon, Northwest Territories",Special Concern,No schedule,Special Concern,N,,,,,,,,,,,,,,,
Western Bumble Bee occidentalis subspecies,Bombus occidentalis  occidentalis,,Arthropods,"British Columbia, Alberta, Saskatchewan",Threatened,No schedule,Special Concern,Y,2017,Y,0,18,Consult with experts to determine abundance and distribution of western bumble bee in WLNP and BURNHS.,0,1,0,0,2017-2022,0,1,0,Improve knowledge of western bumble bee distribution and abundance to support recovery and management planning and monitoring.,1
Western Bumble Bee occidentalis subspecies,Bombus occidentalis  occidentalis,,Arthropods,"British Columbia, Alberta, Saskatchewan",Threatened,No schedule,Special Concern,Y,2017,Y,0,18,Develop and implement pesticide best management practices for WLNP and BURNHS with the recovery needs of aerial insectivore and invertebrate species at risk in mind.,0,0,1,0,Plan developed by 2017. Implementation 2018-2022.,0,1,0,"Threat of reduced availability of insect prey, pesticide use.",1
Western Chorus Frog,Pseudacris triseriata,Carolinian population,Amphibians,Ontario,Not at Risk,No schedule,Special Concern,N,,,,,,,,,,,,,,,
Western Chorus Frog,Pseudacris triseriata,Great Lakes / St. Lawrence - Canadian Shield population,Amphibians,"Ontario, Quebec",Threatened,Schedule 1,Special Concern,Y,2016,Y,0,22,Survey for chorus frogs in the park.,0,1,0,0,2021,0,1,0,"Clarify the range boundary (Environment Canada, 2015h).",1
Western Chorus Frog,Pseudacris triseriata,Great Lakes / St. Lawrence - Canadian Shield population,Amphibians,"Ontario, Quebec",Threatened,Schedule 1,Special Concern,Y,2016,Y,0,34,"Ensure provincial departments, conservation authorities and municipal governments are aware of SAR hotspots for consideration in official land-use plans. Provide input into development proposals that are referred by the Cataraqui Region Conservation Authority.",,0,1,0,Ongoing,0,1,0,Encourage the submission of all records for all turtle species to the province.,1
Western Chorus Frog,Pseudacris triseriata,Great Lakes / St. Lawrence - Canadian Shield population,Amphibians,"Ontario, Quebec",Threatened,Schedule 1,Special Concern,Y,2016,Y,0,34,Work with partners to promote the protection of key species dispersal habitats. Work in partnership with the Leeds and Grenville Stewardship Council on issues related to gray ratsnake outreach and species at risk protection.,1,0,0,0,Ongoing,0,1,0,"Promote protection of high ranking habitat parcels or networks through partners (municipalities, The Nature Conservancy of Canada, Ontario Parks, stewardship councils) and initiate acquisition, agreements, easements, etc.",1
Western Chorus Frog,Pseudacris triseriata,Great Lakes / St. Lawrence - Canadian Shield population,Amphibians,"Ontario, Quebec",Threatened,Schedule 1,Special Concern,Y,2016,Y,0,41,Engage the SON to collaboratively develop and implement methods to meaningfully incorporate ATK into management practices for SAR at BPNP & FFNMP.,0,0,1,0,Ongoing,0,1,0,Several recovery documents note the importance and utility of including ATK in recovery strategies,1
Western Chorus Frog,Pseudacris triseriata,,Amphibians,"Ontario, Quebec",Non-active,No schedule,Special Concern,N,,,,,,,,,,,,,,,
Western Grebe,Aechmophorus occidentalis,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Special Concern,Yes,Special Concern,Y,2018,Y,0,26,Develop and implement an online and new media strategy.,,,1,0,Ongoing,0,1,0,Public awareness of and support for participation in recovery.,1
Western Grebe,Aechmophorus occidentalis,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Special Concern,Yes,Special Concern,Y,2018,Y,0,26,Habitat Conservation: Control woody vegetation posing a threat to Foothill Sedge and its critical habitat on Sidney Island.,1,,,0,Commencing in 2016 and ongoing.,0,1,0,Invasive alien plant species and changes in ecological Dynamics (Parks Canada Agency 2013).,1
